监测点id,方向,卡口经度,卡口纬度
02010089,南行,114.096950,22.556330
02010091,西行,114.086560,22.553120
10100612,西往东,114.062967,22.543058
02010003,北行,114.069167,22.542778
02010003,西行,114.069167,22.542778
10107802,东往西,114.047958,22.518469
20104404,西往东,114.039547,22.593369
20101816,北往南,114.018817,22.525639
02010034,东行,114.026839,22.546064
10101001,东往西,114.071097,22.558264
10100606,西往东,114.078106,22.543231
10101302,南往北,114.091236,22.549044
02010006,北行,114.060000,22.578056
02010093,东行,114.084810,22.555630
02010097,东行,114.092210,22.549190
10101004,西往东,114.094269,22.558394
10100603,东往西,114.011211,22.537544
02010087,北行,114.081480,22.560490
10101002,西往东,114.062408,22.558586
10100203,东往西,114.070733,22.569694
02010092,西行,114.084810,22.555630
02010094,南行,114.099150,22.558080
02010088,西行,114.081130,22.558860
02010090,北行,114.096950,22.556330
02010005,北行,114.060278,22.577500
10100210,西往东,114.006578,22.557022
10101301,北往南,114.091069,22.555872
10100604,西往东,114.011211,22.537544
10100204,西往东,114.059964,22.567103
02010102,东行,114.090120,22.549220
10100403,东往西,114.027850,22.531014
02010021,北行,114.047325,22.590994
02010100,南行,114.087990,22.548550
02010103,西行,114.090810,22.547290
02010020,北行,114.059089,22.580614
20104605,南往北,114.044289,22.537169
20101817,北往南,114.037122,22.515494
10103501,北往南,114.044289,22.537169
10107701,西往东,114.044289,22.537169
20101813,南往北,114.001756,22.544686
02010125,南行,114.046982,22.590212
10107702,东往西,114.044289,22.537169
02010035,西行,114.026839,22.546064
02010110,东行,114.086380,22.558090
02010131,西往东,114.026076,22.534194
02010140,东行,114.076925,22.522030
02010085,西行,114.075430,22.551680
02010002,西行,114.070278,22.542778
20104606,北行,114.013408,22.590289
02010007,北行,114.060000,22.578333
02010004,南行,114.070556,22.542778
02010004,西行,114.070556,22.542778
02010099,西行,114.089370,22.551610
02010101,东行,114.076910,22.546950
10100211,东往西,114.006578,22.557022
02010096,西行,114.092210,22.549190
02010098,西行,114.083250,22.551790
02010106,北行,114.084090,22.551220
02010109,北行,114.087920,22.550520
02010095,东行,114.090680,22.554180
20104607,北往南,114.012122,22.567686
20100306,北往南,114.050708,22.589167
20101812,南往北,114.030633,22.519039
10107801,西往东,114.047958,22.518469
02010138,北行,114.029202,22.555682
02010086,南行,114.081480,22.560490
10103502,南往北,114.044289,22.537169
02010137,南行,114.029202,22.555682
02010392,东行,0.000000,0.000000
02010375,南行,114.093587,22.538238
02010141,西行,114.076507,22.522860
02010388,北行,0.000000,0.000000
02010387,北行,0.000000,0.000000
02010386,南行,0.000000,0.000000
02010108,南行,114.087920,22.550520
20100301,南往北,114.049897,22.590267
10100205,东往西,114.045089,22.565139
10100206,西往东,114.036178,22.562631
02010107,东行,114.082260,22.551550
02010397,西行,0.000000,0.000000
02010105,北行,114.079320,22.543410
20104403,东往西,114.039547,22.593369
10100405,东往西,114.072789,22.532031
10100406,西往东,114.064156,22.531783
10103901,西往东,114.067892,22.523333
10100407,东往西,114.086256,22.537492
10100408,西往东,114.086256,22.537492
02010396,东行,0.000000,0.000000
02010391,南行,0.000000,0.000000
02010390,北行,0.000000,0.000000
02010389,西行,0.000000,0.000000
02010395,西行,0.000000,0.000000
02010394,东行,0.000000,0.000000
02010393,西行,0.000000,0.000000
10100610,西往东,114.041969,22.542617
10100609,东往西,114.045606,22.542711
10101202,西往东,114.065664,22.551086
10101201,东往西,114.069239,22.551206
10104301,南行,114.063489,22.518983
10100404,西往东,114.022772,22.532142
10100605,东往西,114.078106,22.543231
02010104,南行,114.079320,22.543410
10207102,北往南,114.149469,22.557431
10200903,西往东,114.144678,22.555328
10200613,东往西,114.103114,22.544197
02010385,北行,0.000000,0.000000
10207101,南往北,114.149469,22.557431
20204001,南往北,114.113056,22.584722
20200905,西往东,114.178889,22.559106
10101003,东往西,114.101908,22.558444
10200103,东往西,114.102906,22.572336
20602101,南往北,114.097900,22.588994
02010018,南行,114.116667,22.550556
10200904,东往西,114.144992,22.555733
10203801,北往南,114.132908,22.546103
02010017,北行,114.116389,22.548333
02010373,南行,114.110582,22.593871
02010374,南行,114.140861,22.580286
10200901,东往西,114.157458,22.561192
10203802,北往南,114.139472,22.555769
20200906,东往西,114.157458,22.561192
20602201,南往北,114.104972,22.589592
10200402,西往东,114.099317,22.538272
20204101,北行,114.140861,22.580286
10200614,西往东,114.103114,22.544197
10200104,西往东,114.094361,22.568592
02010376,北行,114.110582,22.593871
10200102,西往东,114.109747,22.576233
02010384,南行,0.000000,0.000000
02010383,南行,0.000000,0.000000
02010045,南行,113.904753,22.524808
02010056,北行,113.927669,22.505644
20301814,南往北,113.952236,22.563978
02010046,北行,113.904753,22.524808
10300502,西往东,113.929247,22.525028
10300212,西往东,113.983494,22.558397
02010382,东往西,0.000000,0.000000
10300504,西往东,113.994233,22.527728
02010054,北行,113.897614,22.551331
10300506,西往东,113.960837,22.522978
20104401,东往西,113.995833,22.589167
02010130,西往东,113.948233,22.527138
10301102,北往南,113.924444,22.530019
10300503,东往西,113.994233,22.527728
10300601,东往西,113.930419,22.542983
02010009,西行,113.952500,22.523611
20104402,西往东,113.995833,22.589167
02010008,西行,113.960836,22.522978
02010381,西往东,0.000000,0.000000
20301815,北往南,113.942019,22.565039
10300607,东往西,113.957828,22.543667
02010051,西行,113.979850,22.561631
10301101,南往北,113.924444,22.530019
10300201,东往西,113.960719,22.556511
02010052,东行,113.980194,22.561253
10300602,西往东,113.930419,22.542983
10300207,东往西,113.960719,22.556511
10300501,东往西,113.928855,22.524808
10300213,东往西,113.983494,22.558397
02010049,东行,113.931592,22.571494
10306101,南往北,113.904975,22.547833
02010055,南行,113.927669,22.505644
02010050,西行,113.931592,22.571494
10300202,西往东,113.957739,22.556367
02010402,东行,0.000000,0.000000
02010047,南行,113.918417,22.505892
02010048,北行,113.918417,22.505892
10300505,东往西,113.960836,22.522978
02010404,西行,0.000000,0.000000
02010072,东行,114.319455,22.601795
02010070,西行,114.164200,22.352100
02010408,东行,0.000000,0.000000
02010403,东行,0.000000,0.000000
02010074,西行,114.178889,22.559106
20400803,西往东,114.272933,22.591336
20400802,西往东,114.228950,22.567286
02010409,西行,0.000000,0.000000
20400804,东往西,114.272933,22.591336
10403701,西行,114.219667,22.557289
02010073,西行,114.319482,22.607537
20400806,西往东,114.295569,22.600992
02010410,北行,0.000000,0.000000
02010407,西行,0.000000,0.000000
30603601,西往东,114.334206,22.602939
02010071,东行,114.219667,22.557289
20400805,西往东,114.283631,22.590239
02010069,东行,114.164200,22.352100
20400801,东往西,114.228950,22.567286
02010306,南行,113.820376,22.698662
02010305,北行,113.820699,22.698466
02010292,北行,0.000000,0.000000
02010290,北行,0.000000,0.000000
02010294,北行,113.874447,22.562682
02010293,南行,113.873464,22.562044
02010289,南行,0.000000,0.000000
02010311,东行,113.956427,22.686497
02010307,北行,113.932457,22.620792
02010282,西行,0.000000,0.000000
02010281,东行,0.000000,0.000000
02010286,南行,0.000000,0.000000
02010285,北行,0.000000,0.000000
02010284,东行,0.000000,0.000000
02010291,南行,0.000000,0.000000
02010288,北行,0.000000,0.000000
02010287,南行,0.000000,0.000000
02010136,西往东,113.899374,22.662057
02010296,北行,113.922253,22.563274
02010280,东行,0.000000,0.000000
02010279,西行,0.000000,0.000000
02010129,北行,113.830233,22.594542
02010126,南行,113.835811,22.572292
02010283,西行,0.000000,0.000000
02010134,南行,113.807551,22.622011
02010295,南行,113.921817,22.563491
02010327,北行,0.000000,0.000000
02010326,南行,0.000000,0.000000
02010328,南行,0.000000,0.000000
02010128,南行,113.830233,22.594542
02010127,北行,113.835811,22.572292
02010322,东行,0.000000,0.000000
02010321,西行,0.000000,0.000000
02010323,北行,0.000000,0.000000
02010325,北行,0.000000,0.000000
02010324,南行,0.000000,0.000000
02010037,北行,113.861256,22.557400
02010023,北行,113.865764,22.846925
02010040,南行,113.811453,22.605347
02010249,北行,113.853453,22.607051
02010248,南行,113.853453,22.607051
02010036,南行,113.874819,22.542300
20507302,西往东,113.824647,22.614894
02010039,北行,113.816261,22.595561
02010041,北行,113.768153,22.670372
02010320,北行,113.971697,22.703077
02010304,北行,113.828161,22.655420
02010303,南行,113.828431,22.655504
02010308,北行,113.936908,22.679540
02010310,南行,113.938941,22.687458
02010309,西行,113.945737,22.685864
02010299,北行,113.888289,22.585732
02010298,南行,113.888051,22.585552
02010300,南行,113.932156,22.621355
02010302,北行,113.839718,22.707998
02010301,南行,113.839475,22.708061
02010314,西行,113.980852,22.689492
02010313,东行,113.978032,22.689334
02010315,南行,113.931324,22.622080
02010319,南行,113.971796,22.703431
02010316,北行,113.931458,22.622380
02010317,南行,113.903413,22.668430
02010312,南行,113.972017,22.703744
02010318,北行,113.903606,22.668939
02010044,南行,113.865556,22.846667
02010024,南行,113.841731,22.800597
20501805,南往北,113.904886,22.587097
02010038,南行,113.847942,22.568647
20501701,北往南,113.909197,22.561917
20507303,西往东,113.844703,22.622033
20507301,东往西,113.824647,22.614894
20507304,东往西,113.844703,22.622033
20504702,北往南,113.920983,22.614531
02010135,西往东,113.885343,22.659906
20503402,东往西,113.885583,22.593078
02010053,南行,113.895789,22.552503
02010042,南行,113.775556,22.682606
02010043,南行,113.760206,22.718431
20501401,北往南,113.903708,22.557808
20501402,南往北,113.892844,22.567061
20504203,北往南,113.892136,22.556019
20501403,北往南,113.892844,22.567061
20501412,南往北,113.843411,22.751108
20504701,南往北,113.916697,22.590153
20501804,南往北,113.847642,22.717028
20501808,北往南,113.827869,22.662556
20504202,南往北,113.892136,22.556019
20501809,南往北,113.827869,22.662556
20501411,北往南,113.828169,22.800211
20501410,南往北,113.828169,22.800211
20503401,西往东,113.885583,22.593078
20501413,北往南,113.843411,22.751108
20501803,北往南,113.904886,22.587097
20501408,南往北,113.822556,22.654419
20501409,北往南,113.822553,22.659639
20501811,南往北,113.844617,22.632958
20501810,北往南,113.844617,22.632958
20504501,北往南,113.815389,22.651847
20501802,北往南,113.847642,22.717028
20504205,北往南,113.812581,22.708319
20504204,南往北,113.812581,22.708319
20501407,北往南,113.823847,22.669456
20501406,南往北,113.823847,22.669456
20501405,北往南,113.858747,22.607194
20504201,南往北,113.821686,22.785386
20501404,南往北,113.858747,22.607194
